Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Source of gene name	NCBI gene ID	UniProtKB Gene Name ID	EntrezGene transcript name ID
ENSCAFG00000025770	ENSCAFG00000025770.1	1	108276194	108276296	U6	RFAM			
ENSCAFG00000047256	ENSCAFG00000047256.1	1	108268894	108271647					
ENSCAFG00000004068	ENSCAFG00000004068.3	1	108249911	108261010	CRX	VGNC Symbol	403577	F1PR37	
ENSCAFG00000007385	ENSCAFG00000007385.3	1	108223417	108224336					
ENSCAFG00000031231	ENSCAFG00000031231.2	1	108212846	108221579			111097660	J9P5U4	
ENSCAFG00000000657	ENSCAFG00000000657.4	1	48058804	48066609	DYNLT1	VGNC Symbol	100856149	E2RSJ7	
ENSCAFG00000004063	ENSCAFG00000004063.4	1	108187007	108209230	BSPH1	VGNC Symbol			
ENSCAFG00000004061	ENSCAFG00000004061.5	1	108159611	108188076	ELSPBP1	VGNC Symbol	399530		
ENSCAFG00000000655	ENSCAFG00000000655.5	1	47983174	48055111	TMEM181	VGNC Symbol	612198		
ENSCAFG00000004058	ENSCAFG00000004058.4	1	108147136	108156060	CABP5	VGNC Symbol	484414	F1PR50	
ENSCAFG00000042458	ENSCAFG00000042458.1	1	47959943	47961532					
ENSCAFG00000046744	ENSCAFG00000046744.1	1	47955282	47955437					
ENSCAFG00000028188	ENSCAFG00000028188.2	1	47893407	47893520	U6	RFAM			
ENSCAFG00000004046	ENSCAFG00000004046.4	1	108105987	108143953	LIG1	VGNC Symbol	100686967		
ENSCAFG00000031909	ENSCAFG00000031909.2	1	115702397	115721845	ZNF790	VGNC Symbol	484548	J9P2P1	
ENSCAFG00000000652	ENSCAFG00000000652.5	1	47791993	47951710	TULP4	VGNC Symbol	484053	J9P1J3	
ENSCAFG00000042154	ENSCAFG00000042154.1	1	115675619	115677058	ZNF345	HGNC Symbol			
ENSCAFG00000045193	ENSCAFG00000045193.1	1	115656882	115657783					
ENSCAFG00000028601	ENSCAFG00000028601.2	1	115642505	115644052					
ENSCAFG00000044898	ENSCAFG00000044898.1	1	115589446	115611929				J9P1L0	
ENSCAFG00000032282	ENSCAFG00000032282.2	1	115514277	115565062	ZNF420	UniProtKB Gene Name	100682968	J9NRJ4	
ENSCAFG00000005133	ENSCAFG00000005133.7	1	113124109	113150442	LTBP4	VGNC Symbol	444849	F1PDK5	
ENSCAFG00000005108	ENSCAFG00000005108.5	1	113057141	113102074	COQ8B	VGNC Symbol	484498		
ENSCAFG00000005108	ENSCAFG00000005108.5	1	113057141	113102074	COQ8B	VGNC Symbol	612491		
ENSCAFG00000005104	ENSCAFG00000005104.5	1	113039093	113053738	ITPKC	VGNC Symbol	612489		
ENSCAFG00000005103	ENSCAFG00000005103.4	1	113031764	113036229	C1H19orf54	VGNC Symbol			
ENSCAFG00000049366	ENSCAFG00000049366.1	1	113031313	113031437	cfa-mir-8892	miRBase	104796456		
ENSCAFG00000005091	ENSCAFG00000005091.4	1	113018304	113030734			476454		
ENSCAFG00000046401	ENSCAFG00000046401.1	1	113012847	113014549			484496		
ENSCAFG00000005083	ENSCAFG00000005083.5	1	113003318	113011947	RAB4B	VGNC Symbol	403956	P61017	
ENSCAFG00000047021	ENSCAFG00000047021.1	1	47750592	47751818					
ENSCAFG00000005079	ENSCAFG00000005079.4	1	112992780	113000677	EGLN2	HGNC Symbol	484495	E2RJ48	
ENSCAFG00000032740	ENSCAFG00000032740.2	1	47669248	47681368	GTF2H5	VGNC Symbol	612182	E2RRJ1	
ENSCAFG00000023820	ENSCAFG00000023820.4	1	112989427	112992732			476453		
ENSCAFG00000023821	ENSCAFG00000023821.4	1	112974847	112986123	CYP2F1	VGNC Symbol	612477	E2RJX5	
ENSCAFG00000032339	ENSCAFG00000032339.2	1	112931985	112938350	CYP2A13	NCBI gene	484494		CYP2A13-202
ENSCAFG00000032339	ENSCAFG00000032339.2	1	112931985	112938350	CYP2A13	NCBI gene	484494		CYP2A13-201
ENSCAFG00000004660	ENSCAFG00000004660.5	1	110652584	110660334	CEACAM16	VGNC Symbol	484457		
ENSCAFG00000042954	ENSCAFG00000042954.1	1	112914936	112917332					
ENSCAFG00000004655	ENSCAFG00000004655.5	1	110620827	110654771	BCL3	VGNC Symbol			
ENSCAFG00000031823	ENSCAFG00000031823.2	1	112900403	112907076	CYP2A7	NCBI gene	484493		CYP2A7-201
ENSCAFG00000004651	ENSCAFG00000004651.4	1	110590804	110606781	CBLC	VGNC Symbol	612343	E2RCK0	
ENSCAFG00000005065	ENSCAFG00000005065.4	1	112873448	112883710			484492	E2RJZ7	
ENSCAFG00000045797	ENSCAFG00000045797.1	1	112834014	112835217					
ENSCAFG00000005052	ENSCAFG00000005052.4	1	112816502	112833293	CYP2B6	NCBI gene	474177	F1PNK2	CYP2B6-201
ENSCAFG00000005052	ENSCAFG00000005052.4	1	112816502	112833293	CYP2B6	NCBI gene	474177	F1PNK2	CYP2B6-202
ENSCAFG00000005049	ENSCAFG00000005049.5	1	112736706	112747555	CYP2S1	VGNC Symbol	484491		
ENSCAFG00000000647	ENSCAFG00000000647.4	1	47578472	47669494	SERAC1	VGNC Symbol	476255		
ENSCAFG00000004636	ENSCAFG00000004636.5	1	110575924	110585035	BCAM	VGNC Symbol	484456	J9P3V6	
ENSCAFG00000004626	ENSCAFG00000004626.4	1	110543247	110569143	NECTIN2	VGNC Symbol	611060	F1PWL4	
ENSCAFG00000004620	ENSCAFG00000004620.4	1	110530597	110541042	TOMM40	VGNC Symbol	611055	F1PWL7	
ENSCAFG00000005041	ENSCAFG00000005041.4	1	112700365	112726960	AXL	VGNC Symbol			
